CPU*4: Intel(R) Core(TM) i5 CPU 750 @ 2.67GHz stepping 05
64-bit Mint 11 Linux version 2.6.38-8-generic (gcc v4.5.2)

#	Size	S/sec	Mbps		KBps		TxBurst	TxDel	CPU
-	----	-----	----		----		-------	-----	---
1	1	377216	15.09		1842		256	12	150+28
2	16	380832	60.93		7438		256	10	149+29
3	64	379616	206.51		25209		256	12	150+31
4	128
5	256
6	512
7	1024
8	2048
9	4096
10	8192
11	16384
12	32768
